Año,Física,Química,Fisiología o Medicina,Literatura,Paz,Premio en Ciencias Económicas en memoria de Alfred Nobel
1991,Pierre-Gilles de Gennes,Richard R. Ernst,Erwin Neher; Bert Sakmann,Nadine Gordimer,Aung San Suu Kyi,Ronald Coase
1992,Georges Charpak,Rudolph A. Marcus,Edmond H. Fischer; Edwin G. Krebs,Derek Walcott,Rigoberta Menchú,Gary Becker
1993,"Russell A. Hulse; Joseph H. Taylor, Jr.",Kary Mullis; Michael Smith,Richard J. Roberts; Phillip Allen Sharp,Toni Morrison,Nelson Mandela; Frederik Willem de Klerk,Robert Fogel; Douglass North
1994,Bertram N. Brockhouse; Clifford G. Shull,George Andrew Olah,Alfred G. Gilman; Martin Rodbell,Kenzaburo Oe,Yasser Arafat; Shimon Peres; Yitzhak Rabin,John Harsanyi; John Forbes Nash; Reinhard Selten
1995,Martin L. Perl; Frederick Reines,Paul J. Crutzen; Mario J. Molina; Frank Sherwood Rowland,Edward B. Lewis; Christiane Nüsslein-Volhard; Eric F. Wieschaus,Seamus Heaney,Joseph Rotblat; Conferencia Pugwash,"Robert Lucas, Jr."
1996,David M. Lee; Douglas D. Osheroff; Robert Coleman Richardson,Robert F. Curl Jr.; Harold Kroto; Richard Smalley,Peter C. Doherty; Rolf M. Zinkernagel,Wisława Szymborska,Carlos Filipe Ximenes Belo; José Ramos-Horta,James Mirrlees; William Vickrey
1997,Steven Chu; Claude Cohen-Tannoudji; William D. Phillips,Paul D. Boyer; John E. Walker; Jens Christian Skou,Stanley B. Prusiner,Dario Fo,Campaña Internacional para la Prohibición de las Minas Antipersona; Jody Williams,Robert C. Merton; Myron Scholes
1998,Robert B. Laughlin; Horst L. Störmer; Daniel C. Tsui,Walter Kohn; John Pople,Robert F. Furchgott; Louis J. Ignarro; Ferid Murad,José Saramago,John Hume; David Trimble,Amartya Sen
1999,Gerardus 't Hooft; Martinus J.G. Veltman,Ahmed Zewail,Günter Blobel,Günter Grass,Médicos Sin Fronteras,Robert Mundell
2000,Zhores I. Alferov; Herbert Kroemer; Jack Kilby,Alan J. Heeger; Alan MacDiarmid; Hideki Shirakawa,Arvid Carlsson; Paul Greengard; Eric Kandel,Gao Xingjian,Kim Dae Jung,James Heckman; Daniel McFadden
2001,Eric A. Cornell; Wolfgang Ketterle; Carl E. Wieman,William S. Knowles; Ryoji Noyori; Karl Barry Sharpless,Leland H. Hartwell; Tim Hunt; Paul Nurse,V. S. Naipaul,Organización de las Naciones Unidas; Kofi Annan,George Akerlof; Michael Spence; Joseph E. Stiglitz
2002,"Raymond Davis, Jr.; Masatoshi Koshiba; Riccardo Giacconi",John Bennett Fenn; Koichi Tanaka; Kurt Wüthrich,Sydney Brenner; H. Robert Horvitz; John E. Sulston,Imre Kertész,Jimmy Carter,Daniel Kahneman; Vernon L. Smith
2003,Alexei A. Abrikosov; Vitaly L. Ginzburg; Anthony J. Leggett,Peter Agre; Roderick MacKinnon,Paul Lauterbur; Peter Mansfield,J. M. Coetzee,Shirin Ebadi,Robert F. Engle; Clive Granger
2004,David J. Gross; H. David Politzer; Frank Wilczek,Aarón Ciechanover; Avram Hershko; Irwin Rose,Richard Axel; Linda B. Buck,Elfriede Jelinek,Wangari Maathai,Finn E. Kydland; Edward C. Prescott
2005,Roy J. Glauber; John L. Hall; Theodor W. Hänsch,Yves Chauvin; Robert H. Grubbs; Richard R. Schrock,Barry Marshall; Robin Warren,Harold Pinter,Organismo Internacional de Energía Atómica; Mohamed ElBaradei,Robert Aumann; Thomas Schelling
2006,John C. Mather; George F. Smoot,Roger D. Kornberg,Andrew Fire; Craig Mello,Orhan Pamuk,Muhammad Yunus; Grameen Bank,Edmund Phelps
2007,Albert Fert; Peter Grünberg,Gerhard Ertl,Mario Capecchi; Martin Evans; Oliver Smithies,Doris Lessing,Intergovernmental Panel on Climate Change; Al Gore,Leonid Hurwicz; Eric Maskin; Roger Myerson
2008,Yoichiro Nambu; Makoto Kobayashi; Toshihide Maskawa,Osamu Shimomura; Martin Chalfie; Roger Y. Tsien,Harald zur Hausen; Françoise Barré-Sinoussi; Luc Montagnier,Jean-Marie Gustave Le Clézio,Martti Ahtisaari,Paul Krugman
2009,Charles K. Kao; Willard S. Boyle; George E. Smith,Venkatraman Ramakrishnan; Thomas A. Steitz; Ada E. Yonath,Elizabeth Blackburn; Carol W. Greider; Jack W. Szostak,Herta Müller,Barack Obama,Elinor Ostrom; Oliver E. Williamson
2010,Andre Geim; Konstantin Novoselov,Richard Heck; Ei-ichi Negishi; Akira Suzuki,Robert G. Edwards,Mario Vargas Llosa,Liu Xiaobo,Peter A. Diamond; Dale T. Mortensen; Christopher A. Pissarides
